업체명,카테고리명,술집여부,시도명,시군구명,읍면동명,리명,번지,도로명,경도,위도,주차가능여부,운영시간0,운영시간1,운영시간2,운영시간3,운영시간4,운영시간5,10대,20대,30대,40대,50대,60+대
로타리양곱창센타,아시아,0.0,부산광역시,연제구,연산동,,726-11,반송로13-7,129.082206775657,35.1870981002071,N,,,,,,,6,6,34,41,0,1
ANAN,아시아,0.0,부산광역시,사상구,덕포동,,428-7,사상로277번길9,128.981833108208,35.169552274165,N,,,,,,,4,6,4,7,3,3
365피자,양식,0.0,부산광역시,해운대구,반송동,,275-369,아랫반송로21번길122,129.148732087637,35.228577903922,N,,,,,,,3,2,0,4,9,6
Felicita71,양식,0.0,부산광역시,해운대구,중동,,1271-71,해운대해변로357번길6,129.168552411114,35.1644298202922,N,,,,,,,0,3,7,0,6,4
23다트앤라운지,양식,1.0,부산광역시,중구,신창동1가,,13-4,중구로24번길23-1,129.030398737648,35.100271262114,N,,,,,,,1,2,8,20,6,8
13호순이네해녀,일식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233328345671,35.2204174601145,Y,,,,,,,5,9,1,1,42,8
29호신호수산,일식,0.0,부산광역시,강서구,신호동,,318-2,신호산단1로60,128.872691048522,35.0836680956587,Y,,,,,,,6,0,43,2,3,28
3대정선회무침,일식,0.0,부산광역시,해운대구,반송동,,62-331,윗반송로83,129.157504678494,35.2313232993952,N,,,,,,,0,3,1,9,0,9
4호사돈집,일식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233310528923,35.2204424183548,Y,,,,,,,40,27,40,2,9,9
6호딱따구리,일식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233310528923,35.2204424183548,Y,,,,,,,43,43,4,5,2,9
7.7포항물회,일식,0.0,부산광역시,영도구,대교동1가,,106-7,절영로36번길14,129.038423998219,35.0916544831886,N,,,,,,,7,2,8,4,2,7
7.7포항물회,일식,0.0,부산광역시,영도구,대교동1가,,106-7,절영로36번길14-1,129.038379969427,35.0916703115112,N,,,,,,,2,4,8,1,7,3
88수산,일식,0.0,부산광역시,강서구,명지동,,1-377,신포길17번길21,128.931308903652,35.1128060453776,N,,,,,,,6,6,1,3,1,0
9월횟집,일식,0.0,부산광역시,중구,남포동6가,,22,자갈치로24번길4-1,129.026877279427,35.0961736280653,N,,,,,,,1,6,7,26,6,0
9호옛날백씨집,일식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233328345671,35.2204174601145,Y,,,,,,,25,3,8,2,7,9
가람횟집,일식,0.0,부산광역시,사상구,괘법동,,546-15,광장로81번길5,128.985180448182,35.1627256161598,N,,,,,,,25,7,23,7,2,8
가야수산,일식,0.0,부산광역시,강서구,강동동,,2932-10,제도로794,128.919501277402,35.1830601845581,Y,,,,,,,26,4,2,5,0,9
가오내횟집,일식,0.0,부산광역시,영도구,영선동2가,,3-2,남항로41번길32-12,129.04221731958,35.0897577281664,Y,,,,,,,1,7,4,28,0,0
가온카츠,일식,0.0,부산광역시,남구,용호동,,65-2,이기대공원로26번길13,129.115401473016,35.1240515653077,N,,,,,,,35,8,8,8,0,3
가자사케,일식,1.0,부산광역시,강서구,명지동,,3453-5,명지국제6로222,128.922868134797,35.0952062623022,Y,,,,,,,6,0,26,29,5,4
노랑단무지,중식,0.0,부산광역시,북구,화명동,,2277-4,금곡대로287,129.013321547698,35.234210034685,Y,,,,,,,5,2,7,1,1,6
117스트릿,한식,0.0,부산광역시,해운대구,중동,,1483-3,달맞이길117번나길117,129.183489170069,35.161957969476,N,,,,,,,4,5,1,6,0,5
150그램,한식,0.0,부산광역시,사상구,엄궁동,,42-29,엄궁북로51,128.97607891686,35.1281730746921,N,,,,,,,7,7,4,0,1,0
153청해,한식,0.0,부산광역시,연제구,연산동,,622-8,쌍미천로151번길22,129.086053814506,35.1862070279348,N,,,,,,,2,1,5,5,7,1
1980 아구신,한식,0.0,부산광역시,부산진구,부전동,,256-6,서면로56,129.058139733199,35.1556540266798,N,,,,,,,7,3,9,4,5,42
1988정통바베큐,한식,0.0,부산광역시,부산진구,양정동,,397-6,동평로406번길44,129.068712317158,35.1719156889968,N,,,,,,,8,3,1,2,4,38
1992가족,한식,0.0,부산광역시,사상구,괘법동,,266-6,광장로81번길100,128.98379016973,35.1667519657636,N,,,,,,,1,4,8,9,8,1
1등급한우갈비살,한식,0.0,부산광역시,사상구,주례동,,1162-101,가야대로282번길36,129.00198234409,35.149244844062,N,,,,,,,5,4,4,0,0,8
1번장터국밥,한식,0.0,부산광역시,북구,구포동,,596-13,낙동대로1776번길33,129.004454208461,35.2083822107556,N,,,,,,,7,9,3,3,3,4
1인찜닭삼계탕전문 단물곤물 해운대점,한식,0.0,부산광역시,해운대구,좌동,,1461-1,좌동로88,129.17495253536,35.1719644076465,N,,,,,,,9,25,2,1,4,6
1호할매칼국수,한식,0.0,부산광역시,연제구,거제동,,486-1,거제시장로14번길28,129.072795952533,35.1819100933865,N,,,,,,,9,1,8,5,20,0
20년전통 시장족발,한식,0.0,부산광역시,금정구,장전동,,154-3,금강로335번길21,129.085285431703,35.2377755756864,N,,,,,,,2,7,3,7,6,39
20년전통할매집,한식,0.0,부산광역시,해운대구,송정동,,188-13,송정강변로43,129.205023849978,35.1853112878559,Y,,,,,,,0,1,1,36,7,27
23년돼지국밥,한식,0.0,부산광역시,중구,중앙동6가,,79-9,대교로103,129.037469319734,35.0994165807824,N,,,,,,,2,4,3,9,7,7
24시국수,한식,0.0,부산광역시,남구,감만동,,77-8,우암로78-1,129.081058459372,35.1174341061003,N,,,,,,,9,0,7,8,6,4
30년전통손칼국수,한식,0.0,부산광역시,남구,용호동,,495-21,동명로146번길98,129.111652116988,35.1149198178674,N,,,,,,,5,23,1,5,4,2
337김치찌개,한식,0.0,부산광역시,해운대구,재송동,,1208-2,센텀중앙로97,129.124497695716,35.1751758386255,N,,,,,,,3,25,1,25,7,9
33돼지숯불갈비,한식,0.0,부산광역시,남구,용호동,,371-17,동명로145번길15,129.112820335561,35.1202674729177,Y,,,,,,,0,2,4,8,0,9
33한돼지청학점,한식,0.0,부산광역시,영도구,청학동,,60-8,태종로414,129.066320180271,35.0901637822448,N,,,,,,,5,3,9,2,1,4
365식당,한식,0.0,부산광역시,부산진구,전포동,,194-13,전포대로252,129.065823135528,35.1591888735723,N,,,,,,,43,38,3,22,7,6
365후루룩촌국수 서면점,한식,0.0,부산광역시,부산진구,부전동,,396-12,새싹로14번길5,129.058112588699,35.1593423108954,N,,,,,,,6,4,4,9,1,0
38숯불갈매기,한식,0.0,부산광역시,동래구,명륜동,,550-3,명륜로129번다길39,129.079342296692,35.2070590286866,N,,,,,,,4,1,2,1,2,4
3번식당,한식,0.0,부산광역시,동래구,복천동,,229-42,동래시장길14,129.085938655164,35.2038088148809,Y,,,,,,,5,9,8,25,4,2
3통식당,한식,0.0,부산광역시,강서구,대저1동,,2723-9,체육공원로6번길139-2,128.980724856288,35.2084388268962,N,,,,,,,4,2,2,6,8,8
5월의반찜 반반찜닭 남포점,한식,0.0,부산광역시,서구,토성동5가,,15-5,구덕로124번길33,129.022565625297,35.0982135897292,N,,,,,,,4,0,5,28,6,1
5평바다,한식,0.0,부산광역시,사하구,하단동,,489-1,낙동대로549번길17,128.962848059269,35.1124086423135,N,,,,,,,0,6,28,8,1,3
776황금돼지 사하구점,한식,0.0,부산광역시,사하구,하단동,,506-21,승학로3번길79,128.966916963037,35.1097317622786,N,,,,,,,2,2,30,8,9,5
77돼지숯불갈비,한식,0.0,부산광역시,동구,수정동,,188-3,진성로9번길30,129.047190624181,35.1287731779465,N,,,,,,,0,4,9,9,7,0
782숯불쪽갈비,한식,0.0,부산광역시,금정구,남산동,,126-13,중앙대로1985번길60,129.088187445852,35.2621319409554,N,,,,,,,3,6,5,3,9,9
7번순옥이집,한식,0.0,부산광역시,중구,남포동5가,,37-1,자갈치해안로52,129.030397953616,35.0966666870185,Y,,,,,,,7,4,0,4,9,5
7호장군네,한식,0.0,부산광역시,기장군,기장읍,대변리,245-23,기장해안로668,129.233310528923,35.2204424183548,Y,,,,,,,6,7,8,8,7,7
88한장어구이 본점,한식,0.0,부산광역시,동래구,온천동,,1380-2,아시아드대로220번길30,129.068297328745,35.2028809884206,N,,,,,,,7,7,6,5,3,2
88회관,한식,0.0,부산광역시,사하구,괴정동,,553-9,장평로441,128.986117250256,35.0975445657461,Y,,,,,,,8,2,4,3,1,5
990불고기,한식,0.0,부산광역시,남구,대연동,,910-7,수영로266번길86-2,129.099134118881,35.1333190003251,N,,,,,,,7,2,4,9,2,4
99닭볶음탕,한식,0.0,부산광역시,부산진구,개금동,,57,백양대로208번길38-9,129.027065484751,35.1602616359023,Y,,,,,,,3,9,5,2,0,1
99삼계탕,한식,0.0,부산광역시,연제구,연산동,,1155-1,대리로12번길14-4,129.084919871798,35.1805729916349,N,,,,,,,0,5,5,5,1,2
9성급과메기전문점,한식,0.0,부산광역시,부산진구,부전동,,241-20,중앙대로679-6,129.05874705277,35.1535138205624,N,,,,,,,5,8,1,3,40,9
가고파분식,한식,0.0,부산광역시,남구,우암동,,154-2,우암로184-3,129.076706116863,35.1247949309743,N,,,,,,,2,6,0,6,6,8
가나다분식,한식,0.0,부산광역시,해운대구,우동,,147-3,우동2로14,129.160601242773,35.1659813758519,N,,,,,,,4,2,2,26,0,0
가담암소정,한식,0.0,부산광역시,기장군,철마면,구칠리,492-1,갓안길8,129.16247375087,35.2679553597812,N,,,,,,,7,4,43,2,0,7
가락촌식당,한식,0.0,부산광역시,사상구,엄궁동,,645-3,농산물시장로25번길70,128.967512736166,35.1302128164008,Y,,,,,,,8,2,5,7,7,5
가마골추어탕,한식,0.0,부산광역시,부산진구,가야동,,506-8,가야공원로57,129.030240192599,35.1481961405934,Y,,,,,,,3,4,36,0,2,27
가마솥거인통닭하단점,한식,0.0,부산광역시,사하구,하단동,,592-11,낙동남로1406번길2,128.96533128451,35.1057552009008,N,,,,,,,6,1,3,5,2,5
가마솥모듬순대,한식,0.0,부산광역시,북구,구포동,,132-1,덕천로14,129.006430884214,35.2072450315634,N,,,,,,,0,4,0,0,7,3
가마솥미꾸리추어탕,한식,0.0,부산광역시,동래구,안락동,,432-50,충렬대로375번길13,129.099761261722,35.1981383883857,N,,,,,,,5,8,9,9,1,9
