이름,위도,경도,시도명,시군구명,읍면동명,리명,번지,도로명,도로명상세,주차가능여부,숙박업분류,카테고리명,10대,20대,30대,40대,50대,60+대,숙박유형
록수장여관,35.17469176,128.9843877,부산광역시,사상구,덕포동,,404-4,사상로,338,N,,숙박/휴양,278,428,414,388,370,167,모텔
태화장여관,35.1698277,128.9813999,부산광역시,사상구,덕포동,,427-5,사상로277번길,18,N,,숙박/휴양,149,435,388,355,259,45,모텔
덕성여인숙,35.17063914,128.9810474,부산광역시,사상구,덕포동,,422-4,사상로285번길,28,N,,숙박/휴양,58,379,378,332,211,34,모텔
동심여관,35.17104497,128.9825566,부산광역시,사상구,덕포동,,422-2,사상로293번길,5,N,,숙박/휴양,142,428,394,278,252,136,모텔
금호여관,35.17088131,128.9825142,부산광역시,사상구,덕포동,,422-28,사상로293번길,3,,,숙박/휴양,153,424,366,343,156,139,모텔
성림장여관,35.17225958,128.9828551,부산광역시,사상구,덕포동,,421-5,사상로309번길,7,N,,숙박/휴양,99,470,427,351,309,81,모텔
동명여인숙,35.17324944,128.9825924,부산광역시,사상구,덕포동,,419-5,사상로319번길,17,,,숙박/휴양,238,430,318,317,266,211,모텔
젬모텔,35.18135737,128.9832273,부산광역시,사상구,덕포동,,243-12,삼덕로45번길,161,Y,,숙박/휴양,259,445,364,331,308,71,모텔
복천여관,35.16884809,128.9805962,부산광역시,사상구,덕포동,,429-1,삼덕로46번길,117,,,숙박/휴양,274,423,330,293,281,269,모텔
부산여인숙,35.1731046,128.9818293,부산광역시,사상구,덕포동,,419-1,삼덕로46번길,,,,숙박/휴양,300,398,375,368,302,48,모텔
호텔 979,35.1883001,128.9886251,부산광역시,사상구,모라동,,979-2,모라로,69,Y,,숙박/휴양,69,359,270,421,189,51,호텔
의성장,35.19075536,128.9879,부산광역시,사상구,모라동,,651-7,모라로51번길,,,,숙박/휴양,188,469,443,348,302,102,모텔
스위트홈,35.1880585,128.9918457,부산광역시,사상구,모라동,,1357,백양대로,906,,,숙박/휴양,0,0,0,0,0,0,기타
화성장,35.18950433,128.9904763,부산광역시,사상구,모라동,,1354-4,백양대로907번나길,15,N,,숙박/휴양,213,455,437,362,344,176,모텔
양화림,35.19162459,128.9950084,부산광역시,사상구,모라동,,1380,백양대로934번길,94,,,숙박/휴양,0,0,0,0,0,0,기타
호텔이레,35.18245111,128.9841552,부산광역시,사상구,모라동,,725-9,사상로417번길,32,Y,,숙박/휴양,229,435,428,457,349,212,호텔
넘버25호텔,35.18226848,128.986629,부산광역시,사상구,모라동,,724-3,사상로426번길,10,Y,,숙박/휴양,104,263,152,297,151,80,호텔
운수장여관,35.18547075,128.9872839,부산광역시,사상구,모라동,,702-13,사상로456번길,,N,,숙박/휴양,133,425,326,273,173,107,모텔
미도여관,35.18632104,128.9849182,부산광역시,사상구,모라동,,686-17,사상로469번다길,22,N,,숙박/휴양,242,498,497,448,286,193,모텔
삼락생태공원오토캠핑장,35.16652587,128.9690914,부산광역시,사상구,삼락동,,29-59,,,Y,,문화관광/명소,105,361,360,348,169,73,모텔
태양장여관,35.19538473,128.9876325,부산광역시,사상구,삼락동,,18872,낙동대로,1554-16,Y,,숙박/휴양,278,473,450,415,411,210,모텔
큐모텔,35.18934989,128.9801193,부산광역시,사상구,삼락동,,36373,낙동대로,1454,Y,,숙박/휴양,78,281,224,168,167,32,모텔
보브모텔,35.1855446,128.9773899,부산광역시,사상구,삼락동,,353-2,낙동대로,1406,Y,,숙박/휴양,55,469,454,393,380,53,모텔
웁스모텔,35.17934376,128.9764645,부산광역시,사상구,삼락동,,392-1,낙동대로,1336,Y,,숙박/휴양,221,425,305,260,244,128,모텔
호텔더메이,35.19522639,128.9861284,부산광역시,사상구,삼락동,,18994,낙동대로,1542,Y,,숙박/휴양,144,377,333,398,280,117,호텔
미림장,35.17004582,128.9772865,부산광역시,사상구,삼락동,,419-9,낙동대로,1232,,,숙박/휴양,172,435,400,375,297,41,모텔
발리장여관,35.17027738,128.9771444,부산광역시,사상구,삼락동,,416-18,낙동대로,1234,,,숙박/휴양,187,372,313,271,233,162,모텔
옥림모텔,35.19514062,128.987005,부산광역시,사상구,삼락동,,51-20,낙동대로1548번길,13,Y,,숙박/휴양,115,477,462,225,210,69,모텔
옥림장,35.19532747,128.987251,부산광역시,사상구,삼락동,,18749,낙동대로1548번길,,,,숙박/휴양,152,448,429,353,314,124,모텔
성주여관,35.17262621,128.9813054,부산광역시,사상구,삼락동,,411-35,사상로309번길,38,N,,숙박/휴양,60,313,98,89,88,47,모텔
엘림장여관,35.1712777,128.9792072,부산광역시,사상구,삼락동,,417-4,삼락천로,42,,,숙박/휴양,251,485,428,396,367,50,모텔
유림모텔,35.19577662,128.9877388,부산광역시,사상구,삼락동,,18507,삼락천로,331-1,,,숙박/휴양,175,472,466,409,336,89,모텔
태화장,35.19526153,128.9876503,부산광역시,사상구,삼락동,,51-25,삼락천로,327,,,숙박/휴양,89,410,240,225,209,63,모텔
송학장여관,35.16965048,128.9782382,부산광역시,사상구,삼락동,,419-15,운산로,11,N,,숙박/휴양,150,452,428,348,212,39,모텔
짝모텔,35.12601272,128.9677111,부산광역시,사상구,엄궁동,,155-4,낙동대로,717,Y,,숙박/휴양,139,462,421,216,200,76,모텔
브라운도트호텔,35.12866363,128.9688159,부산광역시,사상구,엄궁동,,385-3,낙동대로,753-17,Y,,숙박/휴양,126,377,317,464,210,61,호텔
호텔프랜치코드,35.12869769,128.9686695,부산광역시,사상구,엄궁동,,385-2,낙동대로,753-19,Y,,숙박/휴양,170,379,281,395,271,94,호텔
W모텔,35.12907224,128.9694416,부산광역시,사상구,엄궁동,,485,낙동대로,759-12,Y,,숙박/휴양,69,163,152,151,143,42,모텔
플라밍고호텔,35.12579492,128.9670833,부산광역시,사상구,엄궁동,,149-1,낙동대로,713,,,숙박/휴양,94,472,464,499,99,86,호텔
빅토리아모텔,35.12668559,128.9690593,부산광역시,사상구,엄궁동,,353-1,낙동대로,734,Y,,숙박/휴양,130,485,312,148,133,119,모텔
뉴페이스모텔,35.12810092,128.9687942,부산광역시,사상구,엄궁동,,367-3,낙동대로,745,,,숙박/휴양,85,444,371,212,178,56,모텔
평화황토,35.13200774,128.9731103,부산광역시,사상구,엄궁동,,573-1,대동로,10,,,숙박/휴양,0,0,0,0,0,0,기타
유진힐,35.13341132,128.9740501,부산광역시,사상구,엄궁동,,25-66,대동로,26,,,숙박/휴양,0,0,0,0,0,0,기타
대구여관,35.13147949,128.9737247,부산광역시,사상구,엄궁동,,573-9,대동로8번길,20,N,,숙박/휴양,103,388,253,236,111,32,모텔
지화미지앤미,35.1295428,128.9752812,부산광역시,사상구,엄궁동,,13728,엄궁로,180,,,숙박/휴양,0,0,0,0,0,0,기타
플라워모텔,35.14994167,129.001563,부산광역시,사상구,주례동,,1162-71,가야대로,262-9,Y,,숙박/휴양,335,463,449,439,347,286,모텔
송민장여관,35.15095259,128.9975767,부산광역시,사상구,주례동,,692-48,가야대로,229-13,N,,숙박/휴양,151,429,298,290,221,36,모텔
제일여인숙,35.15052329,128.9972011,부산광역시,사상구,주례동,,692-29,가야대로213번길,,,,숙박/휴양,71,408,401,339,256,49,모텔
미니호텔,35.14934912,129.012609,부산광역시,사상구,주례동,,74-22,냉정로,116,Y,,숙박/휴양,265,457,420,466,275,122,호텔
하우스현,35.15463577,128.995162,부산광역시,사상구,주례동,,1010-3,백양대로,515,,,숙박/휴양,62,422,459,30,92,52,게스트하우스
은성장여관,35.15100598,128.9980859,부산광역시,사상구,주례동,,693-19,사상로,17,N,,숙박/휴양,129,477,347,222,133,58,모텔
초원장여관,35.15221224,128.9956941,부산광역시,사상구,주례동,,687-2,사상로,14246,N,,숙박/휴양,37,226,153,65,47,32,모텔
송림장여관,35.14086282,128.9894759,부산광역시,사상구,학장동,,567-1,학감대로,106,,,숙박/휴양,105,495,480,183,108,44,모텔
신신장여관,35.14215223,128.9879863,부산광역시,사상구,학장동,,553-1,학감대로,125,Y,,숙박/휴양,160,500,487,317,206,101,모텔
369모텔,35.14299203,128.9884386,부산광역시,사상구,학장동,,487-1,학감대로134번길,6,Y,,숙박/휴양,106,453,279,240,168,105,모텔
엔젤모텔,35.13473436,128.9961325,부산광역시,사상구,학장동,,54,학감대로39번길,55,Y,,숙박/휴양,92,497,407,326,182,80,모텔
코코모텔,35.13493324,128.9960464,부산광역시,사상구,학장동,,54,학감대로39번길,49,Y,,숙박/휴양,184,478,437,432,312,33,모텔
재기중소기업개발원,35.14283399,128.9851833,부산광역시,사상구,학장동,,264-5,학장로,165,,,숙박/휴양,0,0,0,0,0,0,기타
감천문화마을어울터게스트하우스,35.09627151,129.0094292,부산광역시,사하구,감천동,,,감내1로,200,,,숙박/휴양,60,356,382,88,92,36,게스트하우스
하우스피플,35.09807869,129.0098585,부산광역시,사하구,감천동,,2-250,감내1로,245-2,,,숙박/휴양,78,222,437,43,39,96,게스트하우스
방가방가게스트하우스,35.09713343,129.0095616,부산광역시,사하구,감천동,,10-45,감내1로,218,N,,숙박/휴양,97,277,226,59,62,55,게스트하우스
방가방가게스트하우스,35.09721415,129.0094799,부산광역시,사하구,감천동,,10-36,감내1로,218,N,,숙박/휴양,53,464,444,96,37,77,게스트하우스
방가방가게스트하우스,35.0969286,129.0096541,부산광역시,사하구,감천동,,,감내1로224번길,,,,숙박/휴양,45,498,299,34,55,92,게스트하우스
연희모텔,35.08646522,129.0060331,부산광역시,사하구,감천동,,397-1,감천로,138,Y,,숙박/휴양,162,450,425,341,317,126,모텔
감천하텔,35.08826493,129.0062669,부산광역시,사하구,감천동,,,감천로139번길,39,,,숙박/휴양,0,0,0,0,0,0,기타
경동장여관,35.08937716,129.0056876,부산광역시,사하구,감천동,,542-1,옥천로,22,N,,숙박/휴양,117,497,273,223,165,99,모텔
삼풍장여관,35.08538127,129.006027,부산광역시,사하구,감천동,,392-10,원양로,390-3,N,,숙박/휴양,68,324,221,160,120,47,모텔
파라다이스,35.08588204,129.0053656,부산광역시,사하구,감천동,,393-11,원양로,395,N,,숙박/휴양,103,478,465,479,399,73,호텔
파라다이스모텔,35.08587687,129.0053756,부산광역시,사하구,감천동,,393-11,원양로,395,N,,숙박/휴양,102,262,156,137,107,101,모텔
대창여관,35.08546849,129.00638,부산광역시,사하구,감천동,,31413,원양로398번길,11,N,,숙박/휴양,64,458,383,272,211,45,모텔
청운장,35.09722541,128.9847249,부산광역시,사하구,괴정동,,563-8,괴정로,214,Y,,숙박/휴양,166,417,378,308,275,85,모텔
비엘모텔,35.10019379,128.9803202,부산광역시,사하구,괴정동,,1125-1,낙동대로,337,N,,숙박/휴양,132,461,277,272,268,98,모텔
은하모텔,35.1007088,128.9937554,부산광역시,사하구,괴정동,,1007-2,낙동대로,210-5,N,,숙박/휴양,181,391,284,282,188,164,모텔
유진여인숙,35.10081774,128.9934826,부산광역시,사하구,괴정동,,1007-4,낙동대로,210-1,N,,숙박/휴양,209,457,332,275,275,34,모텔
미모텔,35.10081454,128.9941447,부산광역시,사하구,괴정동,,1022-24,낙동대로,206-1,N,,숙박/휴양,191,444,429,255,254,155,모텔
오렌지모텔,35.10074036,128.9936301,부산광역시,사하구,괴정동,,1007-3,낙동대로,210-3,N,,숙박/휴양,256,473,459,435,330,246,모텔
에덴장여관,35.10115906,128.9950867,부산광역시,사하구,괴정동,,1020-1,낙동대로194번길,1,N,,숙박/휴양,109,450,352,294,245,80,모텔
동경장여관,35.10109807,128.9945927,부산광역시,사하구,괴정동,,1023-1,낙동대로200번길,7,N,,숙박/휴양,130,417,371,329,237,35,모텔
9월모텔,35.10097408,128.9946308,부산광역시,사하구,괴정동,,1020-3,낙동대로200번길,3,Y,,숙박/휴양,133,438,243,193,157,82,모텔
로쏘호텔,35.10061304,128.9933311,부산광역시,사하구,괴정동,,1002-1,낙동대로216번길,2,Y,,숙박/휴양,89,455,284,477,264,56,호텔
선초장여관,35.10035041,128.992012,부산광역시,사하구,괴정동,,975-12,낙동대로224번길,,,,숙박/휴양,60,495,495,396,220,57,모텔
늘봄모텔,35.10039054,128.992136,부산광역시,사하구,괴정동,,975-2,낙동대로224번길,7,Y,,숙박/휴양,67,371,329,186,111,43,모텔
위브모텔,35.09904959,128.9913635,부산광역시,사하구,괴정동,,891-9,낙동대로233번길,6,Y,,숙박/휴양,96,478,451,430,312,60,모텔
프린스모텔,35.09879031,128.9915302,부산광역시,사하구,괴정동,,890-5,낙동대로233번길,12,N,,숙박/휴양,153,475,313,284,244,62,모텔
위브모텔,35.09903428,128.9913573,부산광역시,사하구,괴정동,,890-1,낙동대로233번길,6,Y,,숙박/휴양,174,364,353,232,178,150,모텔
EG모텔,35.09953608,128.9816169,부산광역시,사하구,괴정동,,578-26,낙동대로323번길,7,Y,,숙박/휴양,68,441,380,308,303,63,모텔
하림,35.09989832,128.9806747,부산광역시,사하구,괴정동,,1132-14,낙동대로327번길,,,,숙박/휴양,0,0,0,0,0,0,기타
크로바 호텔,35.09641173,128.9940128,부산광역시,사하구,괴정동,,477-2,사하로,166,Y,,숙박/휴양,116,333,283,482,196,54,호텔
삼오모텔,35.09967714,128.9928932,부산광역시,사하구,괴정동,,970-4,사하로,201-2,Y,,숙박/휴양,217,426,324,250,232,114,모텔
로망스모텔,35.0993301,128.9924908,부산광역시,사하구,괴정동,,970-17,사하로,201-5,Y,,숙박/휴양,146,439,431,353,244,32,모텔
J모텔,35.09948499,128.9927553,부산광역시,사하구,괴정동,,970-27,사하로,201-3,,,숙박/휴양,55,181,138,93,80,32,모텔
로망스모텔,35.09923271,128.992485,부산광역시,사하구,괴정동,,946-3,사하로197번길,,Y,,숙박/휴양,80,434,302,235,154,78,모텔
지티모텔,35.09863598,128.9907509,부산광역시,사하구,괴정동,,858,사하로197번길,50,Y,,숙박/휴양,250,380,357,306,285,98,모텔
라라모텔,35.09894942,128.9918914,부산광역시,사하구,괴정동,,944-3,사하로197번길,28,Y,,숙박/휴양,140,391,304,193,167,32,모텔
락모텔,35.09938137,128.9939574,부산광역시,사하구,괴정동,,1012-5,사하로198번길,2,N,,숙박/휴양,115,415,361,185,180,114,모텔
희여관,35.07601932,128.990192,부산광역시,사하구,구평동,,226-3,감천항로,190-1,,,숙박/휴양,91,491,488,478,261,77,모텔
APPLETREEGUESTHOUSE,35.08787252,128.9848467,부산광역시,사하구,구평동,,17,을숙도대로709번길,31,,,숙박/휴양,80,379,202,46,60,48,게스트하우스
그리스,35.05784712,128.9743705,부산광역시,사하구,다대동,,203-1,다대동로,21582,N,,숙박/휴양,165,495,467,318,244,145,모텔
한미장여관,35.05627922,128.9710188,부산광역시,사하구,다대동,,784,다대동로,,N,,숙박/휴양,219,494,485,416,272,129,모텔
오이아호텔,35.0574017,128.9727617,부산광역시,사하구,다대동,,851-1,다대동로,45,Y,,숙박/휴양,177,299,236,467,199,51,호텔
모텔그리스,35.05761998,128.9742614,부산광역시,사하구,다대동,,348-2,다대동로,61,Y,,숙박/휴양,114,493,398,268,258,94,모텔
로망스,35.05678082,128.9715072,부산광역시,사하구,다대동,,894,다대동로29번길,7,Y,,숙박/휴양,0,0,0,0,0,0,기타
비치모텔,35.05707569,128.9715492,부산광역시,사하구,다대동,,887-2,다대동로29번길,11,Y,,숙박/휴양,234,452,395,385,336,143,모텔
서울모텔,35.05636333,128.9709085,부산광역시,사하구,다대동,,783,다대로,559-1,N,,숙박/휴양,265,472,429,384,382,96,모텔
그린게스트하우스,35.0610551,128.9784689,부산광역시,사하구,다대동,,120-1,다대로,473,,,숙박/휴양,55,448,277,66,40,44,게스트하우스
코자837모텔,35.05575364,128.9711018,부산광역시,사하구,다대동,,792,다대로,567-5,Y,,숙박/휴양,110,367,280,203,126,109,모텔
6월모텔,35.0556484,128.9708584,부산광역시,사하구,다대동,,724,다대로,567-3,Y,,숙박/휴양,110,300,197,180,154,101,모텔
원모텔,35.04850864,128.9700021,부산광역시,사하구,다대동,,420-4,다대로,649,Y,,숙박/휴양,234,473,464,432,425,193,모텔
유성여관,35.05790609,128.9720774,부산광역시,사하구,다대동,,1111,다대로543번길,,N,,숙박/휴양,245,389,381,367,316,179,모텔
블루캐슬,35.06481747,128.9831324,부산광역시,사하구,다대동,,1670,다송로,23,,,숙박/휴양,126,386,270,399,196,54,호텔
부산 당리 오투,35.10272907,128.9750842,부산광역시,사하구,당리동,,325-14,낙동대로,391,Y,,숙박/휴양,357,403,397,394,391,72,모텔
맥스모텔,35.10564451,128.9696113,부산광역시,사하구,당리동,,303-18,낙동대로450번길,5,N,,숙박/휴양,98,488,380,149,123,72,모텔
귀빈모텔,35.10557134,128.9697192,부산광역시,사하구,당리동,,303-19,낙동대로450번길,3,N,,숙박/휴양,259,426,394,362,333,185,모텔
사파이어관광호텔,35.10626277,128.9698481,부산광역시,사하구,당리동,,302-1,승학로,8,,,숙박/휴양,93,414,272,424,231,86,호텔
DREAMINGROOFTOPROOM,35.10664354,128.9691773,부산광역시,사하구,당리동,,301-1,승학로3번길,2,,,숙박/휴양,0,0,0,0,0,0,기타
갈매기하우스,35.10276284,128.9745021,부산광역시,사하구,당리동,,325-23,제석로18번길,67,Y,,숙박/휴양,63,397,299,74,47,37,게스트하우스
문화여관,35.09296841,128.9756544,부산광역시,사하구,신평동,,146-28,다대로130번길,118,,,숙박/휴양,316,417,409,406,404,80,모텔
태백,35.09248513,128.9756922,부산광역시,사하구,신평동,,111-317,다대로134번길,107,,,숙박/휴양,0,0,0,0,0,0,기타
신평여관,35.09115523,128.974566,부산광역시,사하구,신평동,,84,장평로278번길,56,Y,,숙박/휴양,256,438,413,354,268,111,모텔
신평모텔,35.09108701,128.9747035,부산광역시,사하구,신평동,,84,장평로278번길,56,Y,,숙박/휴양,99,464,365,235,164,33,모텔
블루문모텔,35.0731306,128.9768748,부산광역시,사하구,장림동,,380-4,다대로,323,Y,,숙박/휴양,136,360,292,231,210,133,모텔
여명모텔,35.07951194,128.9777067,부산광역시,사하구,장림동,,240-6,다대로,255-1,N,,숙박/휴양,155,420,332,277,262,143,모텔
투하트,35.07959919,128.9778273,부산광역시,사하구,장림동,,241-6,다대로257번길,3,N,,숙박/휴양,66,396,285,235,201,39,모텔
성풍여관,35.07815839,128.9777236,부산광역시,사하구,장림동,,256-1,다대로271번길,2,N,,숙박/휴양,173,443,382,366,309,30,모텔
수도여관,35.08020113,128.9703283,부산광역시,사하구,장림동,,332-8,장림번영로,16834,,,숙박/휴양,150,426,370,341,170,131,모텔
쇼모텔,35.10659354,128.9670524,부산광역시,사하구,하단동,,526-11,낙동남로,1421,,,숙박/휴양,75,279,238,221,218,31,모텔
레이어스호텔,35.10661587,128.9643563,부산광역시,사하구,하단동,,525-4,낙동남로,1395,Y,,숙박/휴양,71,443,416,499,329,69,호텔
프로포즈모텔,35.108507,128.9618043,부산광역시,사하구,하단동,,519-4,낙동남로1373번길,43,Y,,숙박/휴양,100,418,360,251,209,72,모텔
하단해원모텔,35.10707408,128.964341,부산광역시,사하구,하단동,,515-24,낙동남로1389번길,,Y,,숙박/휴양,180,459,391,271,247,80,모텔
호텔얌,35.10747276,128.9638126,부산광역시,사하구,하단동,,515-28,낙동남로1389번길,18,,,숙박/휴양,75,434,375,463,266,68,호텔
호텔야오,35.10746664,128.9638192,부산광역시,사하구,하단동,,515-28,낙동남로1389번길,18,Y,,숙박/휴양,180,458,375,465,319,164,호텔
해원모텔,35.10706467,128.9643363,부산광역시,사하구,하단동,,515-24,낙동남로1389번길,,Y,,숙박/휴양,179,416,385,378,301,81,모텔
경희모텔,35.10755667,128.9652557,부산광역시,사하구,하단동,,514-5,낙동남로1405번길,21,Y,,숙박/휴양,56,459,391,258,127,55,모텔
휴모텔,35.10723833,128.965149,부산광역시,사하구,하단동,,514-11,낙동남로1405번길,,N,,숙박/휴양,207,460,397,323,271,198,모텔
K모텔,35.10766292,128.9651027,부산광역시,사하구,하단동,,514-28,낙동남로1405번길,27,N,,숙박/휴양,65,500,225,196,119,57,모텔
E팰리스호텔,35.10878682,128.965705,부산광역시,사하구,하단동,,513-3,낙동남로1423번길,55,Y,,숙박/휴양,66,344,180,486,168,37,호텔
금호모텔,35.10797237,128.9662654,부산광역시,사하구,하단동,,512-19,낙동남로1423번길,35,,,숙박/휴양,181,471,432,427,305,125,모텔
모텔 파라다이스,35.10825286,128.9664516,부산광역시,사하구,하단동,,511-6,낙동남로1423번길,40,Y,,숙박/휴양,46,400,265,222,171,40,모텔
발리모텔,35.10795917,128.966566,부산광역시,사하구,하단동,,511-23,낙동남로1423번길,32,Y,,숙박/휴양,31,324,300,208,40,30,모텔
E 팰리스 호텔,35.10879272,128.965702,부산광역시,사하구,하단동,,513-3,낙동남로1423번길,55,Y,,숙박/휴양,186,358,231,487,213,65,호텔
모텔츄츄,35.10782814,128.9662697,부산광역시,사하구,하단동,,512-21,낙동남로1423번길,33,Y,,숙박/휴양,161,486,272,271,192,147,모텔
브라운도트호텔,35.1083359,128.9658337,부산광역시,사하구,하단동,,512-4,낙동남로1423번길,47,Y,,숙박/휴양,190,437,362,437,241,57,호텔
발렌타인 모텔,35.10860087,128.9661254,부산광역시,사하구,하단동,,511-22,낙동남로1423번길,50,Y,,숙박/휴양,288,400,378,297,292,246,모텔
호텔메르시엘,35.10953107,128.9659842,부산광역시,사하구,하단동,,505-25,낙동대로,507,N,,숙박/휴양,197,404,298,466,256,54,호텔
공원장여관,35.10993901,128.9663162,부산광역시,사하구,하단동,,506-33,낙동대로,510-2,N,,숙박/휴양,159,436,418,373,362,127,모텔
세방장여관,35.1048597,128.9690265,부산광역시,사하구,하단동,,618-5,낙동대로451번안길,2,N,,숙박/휴양,157,453,330,242,238,126,모텔
대하장모텔,35.10496836,128.9669856,부산광역시,사하구,하단동,,616-15,낙동대로457번길,32,Y,,숙박/휴양,118,426,415,288,211,37,모텔
돔보여관,35.1070161,128.968559,부산광역시,사하구,하단동,,534-14,낙동대로474번길,2,Y,,숙박/휴양,88,471,452,444,165,85,모텔
라스베가스관광호텔,35.10741051,128.966534,부산광역시,사하구,하단동,,527-2,낙동대로485번길,11,Y,,숙박/휴양,138,263,252,277,207,135,호텔
그린힐호텔,35.10774326,128.9668249,부산광역시,사하구,하단동,,511-11,낙동대로485번길,4,Y,,숙박/휴양,163,306,228,391,223,87,호텔
로얄모텔,35.10378396,128.9603937,부산광역시,사하구,하단동,,870-117,동매로,17,N,,숙박/휴양,31,322,219,202,86,30,모텔
동진장여관,35.08144479,128.9692695,부산광역시,사하구,하단동,,887-10,장림번영로37번길,15,N,,숙박/휴양,173,489,419,232,214,37,모텔
굿타임,35.10751927,128.9643215,부산광역시,사하구,하단동,,515-16,하신번영로300번길,100-4,Y,,숙박/휴양,0,0,0,0,0,0,기타
모텔와이티티,35.10725332,128.9647145,부산광역시,사하구,하단동,,514-8,하신번영로300번길,100-9,N,,숙박/휴양,109,251,229,128,118,108,모텔
머물다호텔,35.10824527,128.9656181,부산광역시,사하구,하단동,,512-2,하신번영로300번길,122,Y,,숙박/휴양,160,305,228,428,212,143,호텔
퍼블릭,35.10752392,128.9646676,부산광역시,사하구,하단동,,514-25,하신번영로300번길,100-5,Y,,숙박/휴양,0,0,0,0,0,0,기타
넘버25호텔,35.10822036,128.9651507,부산광역시,사하구,하단동,,513-9,하신번영로300번길,113,Y,,숙박/휴양,39,229,220,385,128,38,호텔
YTT모텔,35.107257,128.9647158,부산광역시,사하구,하단동,,514-8,하신번영로300번길,100-9,Y,,숙박/휴양,97,477,245,215,152,45,모텔
와우호텔,35.10775891,128.9644718,부산광역시,사하구,하단동,,515-12,하신번영로300번길,100,Y,,숙박/휴양,156,448,193,484,172,58,호텔
퀸모텔,35.10717344,128.9643859,부산광역시,사하구,하단동,,515-21,하신번영로300번길,100-12,Y,,숙박/휴양,213,455,320,244,214,138,모텔
퍼블릭모텔,35.10758144,128.9647965,부산광역시,사하구,하단동,,514-32,하신번영로300번길,100-5,Y,,숙박/휴양,139,491,337,173,154,132,모텔
칠백장모텔,35.10357613,128.9631384,부산광역시,사하구,하단동,,608-1,하신중앙로,296,Y,,숙박/휴양,223,409,352,343,260,180,모텔
대하모텔,35.10507911,128.9666919,부산광역시,사하구,하단동,,616-3,하신중앙로,332,,,숙박/휴양,59,496,466,343,265,40,모텔
동성여인숙,35.08610189,129.024269,부산광역시,서구,남부민동,,658-21,남부민로10번길,14001,N,,숙박/휴양,193,457,371,319,270,88,모텔
칠성여인숙,35.08496946,129.0242615,부산광역시,서구,남부민동,,673-25,남부민로10번길,14,N,,숙박/휴양,163,500,454,423,379,77,모텔
부산비치관광호텔,35.08497673,129.0262775,부산광역시,서구,남부민동,,523-44,등대로,113,Y,,숙박/휴양,208,455,405,460,322,76,호텔
대흥장,35.08753447,129.0239181,부산광역시,서구,남부민동,,140-4,충무대로,189-10,N,,숙박/휴양,237,472,447,439,323,69,모텔
대명장여관,35.08807173,129.0238908,부산광역시,서구,남부민동,,652-25,충무대로,197-9,N,,숙박/휴양,112,430,419,228,171,63,모텔
대흥장,35.08753066,129.0239198,부산광역시,서구,남부민동,,140-4,충무대로,189-10,N,,숙박/휴양,319,475,405,336,335,155,모텔
명동,35.08909293,129.0241547,부산광역시,서구,남부민동,,650-24,충무대로,207,,,숙박/휴양,0,0,0,0,0,0,기타
창성,35.08778946,129.024276,부산광역시,서구,남부민동,,652-55,충무대로,191-2,,,숙박/휴양,0,0,0,0,0,0,기타
삼화여인숙,35.08533526,129.0244826,부산광역시,서구,남부민동,,672-1,충무대로,165-3,N,,숙박/휴양,312,425,416,407,391,280,모텔
제일장,35.08754889,129.0240335,부산광역시,서구,남부민동,,652-69,충무대로,189-8,,,숙박/휴양,187,352,262,223,216,68,모텔
대명장여관,35.0881067,129.0238418,부산광역시,서구,남부민동,,652-25,충무대로,197-9,N,,숙박/휴양,175,426,425,413,198,164,모텔
천마,35.09139438,129.0231814,부산광역시,서구,남부민동,,69,충무대로225번길,29,,,숙박/휴양,0,0,0,0,0,0,기타
제일장,35.09171539,129.0236092,부산광역시,서구,남부민동,,647-5,충무대로241번길,,Y,,숙박/휴양,359,490,461,460,407,154,모텔
부산탕,35.09207816,129.0234975,부산광역시,서구,남부민동,,645-2,충무대로241번길,7,Y,,숙박/휴양,0,0,0,0,0,0,기타
충무여관,35.09202817,129.0229695,부산광역시,서구,남부민동,,25112,충무대로241번길,,N,,숙박/휴양,187,413,342,258,222,135,모텔
동미여인숙,35.09249553,129.0235253,부산광역시,서구,남부민동,,643-10,충무대로255번길,5-38,N,,숙박/휴양,186,466,455,379,237,159,모텔
수목장,35.11091363,129.0198212,부산광역시,서구,동대신동2가,,411-4,대영로,28856,,,숙박/휴양,158,461,340,291,251,33,모텔
금호장,35.10402939,129.0210154,부산광역시,서구,부민동1가,,13-17,보수대로,93,N,,숙박/휴양,169,331,206,193,171,142,모텔
라까사델솔 게스트하우스,35.1079872,129.0167659,부산광역시,서구,서대신동1가,,33239,부용로,14-36,Y,,숙박/휴양,96,399,250,64,52,64,게스트하우스
부산 코인 독채하우스,35.10949883,129.0157081,부산광역시,서구,서대신동2가,,126-11,대영로,39,N,,숙박/휴양,54,342,214,71,47,46,게스트하우스
구덕장모텔,35.11468844,129.0151553,부산광역시,서구,서대신동3가,,241-2,구덕로,347,N,,숙박/휴양,122,434,415,256,191,30,모텔
구덕야영장,35.12554995,129.0096934,부산광역시,서구,서대신동3가,,13,꽃마을로156번길,109,Y,,문화관광/명소,185,417,315,310,240,145,모텔
구덕야영장구덕수련원,35.1252737,129.0107942,부산광역시,서구,서대신동3가,,750,꽃마을로156번길,109,Y,,숙박/휴양,346,340,480,35,79,68,호스텔
엄광산유아숲체험장,35.13061918,129.0105439,부산광역시,서구,서대신동3가,,산74-1,엄광산로,94,,,숙박/휴양,84,393,361,321,143,37,모텔
